Name,Protein,Carbs,Fat,Fiber,Sugar,Water,Sodium,Calcium,Iron,Potassium,Cholesterol,Calories
"Barracuda, coated, fried",20.13,9.85,17.06,0.6,0.88,50.29,404,50,1.83,387,75,273.46
"Barracuda, cooked, NS as to cooking method",24.54,0.1,13.42,0.0,0.04,58.83,418,29,1.42,498,57,219.34
"Barracuda, steamed or poached",25.24,0.0,9.92,0.0,0.0,61.64,419,29,1.46,434,59,190.24
Basbousa,4.15,44.07,8.46,0.5,30.4,42.38,83,113,0.94,123,3,269.02
"Basil, raw",3.15,2.65,0.64,1.6,0.3,92.06,4,177,3.17,295,0,28.96
"Bean and ham soup, canned, reduced sodium, prepared with water or ready-to-serve",4.19,13.66,1.03,4.0,3.17,79.91,187,38,1.02,158,2,80.67
"Bean and ham soup, chunky style, canned or ready-to-serve",4.62,11.17,1.66,1.7,1.91,80.95,301,14,0.89,127,3,78.1
"Bean and ham soup, home recipe",7.67,8.29,1.99,2.0,0.63,80.36,366,29,1.25,211,12,81.75
Bean cake,5.63,49.58,21.26,3.0,20.37,22.58,186,13,2.29,151,0,412.18
Bean chips,14.4,53.18,21.6,10.1,1.08,7.7,408,36,4.04,547,0,464.72
"Bean dip, made with refried beans",5.44,15.89,3.7,4.9,0.99,72.95,443,26,1.6,368,0,118.62
"Bean paste, sweetened",6.22,49.98,0.47,5.3,33.92,42.21,124,21,2.13,290,0,229.03
"Bean salad, yellow and/or green string beans",3.53,12.98,5.0,3.5,3.48,77.21,266,27,1.33,211,0,111.04
"Bean soup, NFS",3.08,8.89,2.32,3.1,1.57,84.32,354,33,0.8,197,1,68.76
"Bean soup, home recipe",5.08,9.72,0.77,2.4,0.74,83.1,248,33,1.24,194,4,66.13
"Bean soup, mixed beans, home recipe, canned or ready-to-serve",4.74,9.49,0.79,2.8,0.92,83.77,246,22,0.98,174,4,64.03
"Bean soup, with macaroni, home recipe, canned, or ready-to-serve",4.84,12.9,2.31,2.3,0.73,78.75,210,53,1.21,167,3,91.75
"Bean sprouts, cooked",9.8,6.08,6.92,3.3,2.83,75.81,127,56,2.8,299,2,125.8
"Bean sprouts, raw",3.04,5.94,0.18,1.8,4.13,90.4,6,13,0.91,149,0,37.54
"Bean with bacon or ham soup, canned or ready-to-serve",3.08,8.89,2.32,3.1,1.57,84.32,354,33,0.8,196,1,68.76
Beans and brown rice,6.52,24.17,4.49,4.2,0.28,63.14,214,52,2.29,347,0,163.17
Beans and franks,6.74,17.29,5.22,3.3,6.17,69.1,438,33,1.36,224,19,143.1
"Beans and rice, from fast food / restaurant",6.29,24.41,6.99,3.6,0.2,60.45,299,53,2.47,317,0,185.71
"Beans and rice, with meat",7.49,23.54,4.24,4.4,0.25,63.3,263,25,1.64,240,6,162.28
"Beans and rice, with tomatoes",4.7,21.9,3.46,3.8,0.81,68.42,309,23,1.46,227,0,137.54
"Beans and tomatoes, fat added",6.05,17.84,5.58,6.1,1.32,68.68,351,31,1.63,355,0,145.78
"Beans and tomatoes, no added fat",6.37,18.76,0.51,6.4,1.39,72.41,370,32,1.71,374,0,105.11
Beans and white rice,6.5,25.19,4.21,3.7,0.21,62.38,231,54,2.55,327,0,164.65
"Beans with meat, NS as to type",10.7,20.56,6.88,7.1,0.38,60.16,275,35,1.95,377,11,186.96
"Beans, NFS",8.34,23.78,7.08,8.3,0.31,59.15,217,39,1.96,386,0,192.2
"Beans, from canned, NS as to type, fat added",7.66,24.1,6.83,8.0,1.31,58.98,311,69,2.45,441,0,188.51
"Beans, from canned, NS as to type, no added fat",7.96,25.04,0.81,8.3,1.36,63.67,323,72,2.53,458,0,139.29
"Beans, from dried, NS as to type, fat added",8.34,23.78,7.08,8.3,0.31,59.15,217,39,1.96,386,0,192.2
"Beans, from dried, NS as to type, no added fat",8.92,25.44,0.62,8.9,0.33,63.27,232,41,2.08,413,0,143.02
"Beans, from fast food / restaurant, NS as to type",8.77,22.6,9.32,5.7,0.31,56.83,354,82,3.35,505,0,209.36
"Beans, green string, baby food, NS as to strained or junior",1.2,6.04,0.14,2.0,1.48,92.18,6,52,0.88,137,0,30.22
"Beans, green string, baby food, junior",1.2,5.8,0.1,1.9,1.08,92.5,5,65,1.08,128,0,28.9
"Beans, green string, baby food, strained",1.2,6.29,0.17,2.2,1.88,91.85,7,39,0.67,146,0,31.49
"Beans, green string, baby food, toddler",1.2,5.7,0.2,1.3,1.06,92.6,37,27,0.4,116,0,29.4
